subject,date,delivered_to,class
Re: New Sequences Window,"Thu, 22 Aug 2002 18:26:25 +0700",zzzz@localhost.netnoteinc.com,ham
[zzzzteana] RE: Alexander,"Thu, 22 Aug 2002 12:46:18 +0100",zzzz@localhost.netnoteinc.com,ham
[zzzzteana] Moscow bomber,"Thu, 22 Aug 2002 13:52:38 +0100",zzzz@localhost.netnoteinc.com,ham
[IRR] Klez: The Virus That  Won't Die,"Thu, 22 Aug 2002 09:15:25 -0400",zzzz@localhost.netnoteinc.com,ham
Re: [zzzzteana] Nothing like mama used to make,"Thu, 22 Aug 2002 14:38:22 +0100",zzzz@localhost.netnoteinc.com,ham
Re: [zzzzteana] Nothing like mama used to make,"Thu, 22 Aug 2002 14:50:31 +0100",zzzz@localhost.netnoteinc.com,ham
[zzzzteana] Playboy wants to go out with a bang,"Thu, 22 Aug 2002 14:54:25 +0100",zzzz@localhost.netnoteinc.com,ham
Re: [zzzzteana] Nothing like mama used to make,"Thu, 22 Aug 2002 15:01:20 +0100",zzzz@localhost.netnoteinc.com,ham
[zzzzteana] Meaningful sentences,"Thu, 22 Aug 2002 15:01:33 +0100",zzzz@localhost.netnoteinc.com,ham
[SAtalk] SA CGI Configurator Scripts,"Thu, 22 Aug 2002 10:16:36 -0400",zzzz@localhost.netnoteinc.com,ham
[SAdev] Interesting approach to Spam handling..,"Thu, 22 Aug 2002 16:19:48 +0200",zzzz@localhost.netnoteinc.com,ham
Re: [SAdev] Live Rule Updates after Release ???,"Thu, 22 Aug 2002 08:14:12 -0700",zzzz@localhost.netnoteinc.com,ham
[ILUG] Re: Problems with RAID1 on cobalt raq3,"Thu, 22 Aug 2002 16:25:45 +0100",zzzz@localhost.netnoteinc.com,ham
Re: New Sequences Window,"Thu, 22 Aug 2002 10:25:52 -0500",zzzz@localhost.netnoteinc.com,ham
The case for spam,"Thu, 22 Aug 2002 12:39:47 -0300",zzzz@localhost.netnoteinc.com,ham
[IIU] Eircom aDSL Nat'ing,"Thu, 22 Aug 2002 16:58:37 +0100",zzzz@localhost.netnoteinc.com,ham
[zzzzteana] Re: Australian Catholic Kiddie Perv Steps Aside,"Thu, 22 Aug 2002 16:11:27 -0000",zzzz@localhost.netnoteinc.com,ham
RE: [ILUG] Sun Solaris..,"Thu, 22 Aug 2002 17:13:01 +0100",zzzz@localhost.netnoteinc.com,ham
[zzzzteana] Which Muppet Are You?,"Thu, 22 Aug 2002 16:17:39 -0000",zzzz@localhost.netnoteinc.com,ham
[ILUG] Sun Solaris..,"Thu, 22 Aug 2002 17:23:15 +0100",zzzz@localhost.netnoteinc.com,ham
Re: [zzzzteana] Which Muppet Are You?,"Thu, 22 Aug 2002 17:23:28 +0100",zzzz@localhost.netnoteinc.com,ham
Re: [ILUG] Sun Solaris..,"Thu, 22 Aug 2002 17:36:41 +0100",zzzz@localhost.netnoteinc.com,ham
Re: [ILUG] Sun Solaris..,"Thu, 22 Aug 2002 17:42:26 +0100",zzzz@localhost.netnoteinc.com,ham
Re: [zzzzteana] Which Muppet Are You?,"Thu, 22 Aug 2002 10:19:48 -0700",zzzz@localhost.netnoteinc.com,ham
Re: [ILUG] Sun Solaris..,"Thu, 22 Aug 2002 19:11:19 +0100",zzzz@localhost.netnoteinc.com,ham
RE: The Curse of India's Socialism,"Thu, 22 Aug 2002 11:11:57 -0700",zzzz@localhost.netnoteinc.com,ham
[ILUG] Newbie seeks advice - Suse 7.2,"Thu, 22 Aug 2002 18:57:35 GMT",zzzz@localhost.netnoteinc.com,ham
Re: lifegem,"Thu, 22 Aug 2002 15:25:24 -0400 (EDT)",zzzz@localhost.netnoteinc.com,ham
