subject,date,delivered_to,class
=?big5?Q?=A7K=B6O=B5L=AD=AD=A6=B8=A5=F4=A5=B4=A4=A4=B4=E4=AA=F8=B3~=B9q=B8=DC?=,"Sun, 15 Sep 2002 20:14:02 +0100",zzzz@localhost.spamassassin.taint.org,spam
[SAtalk] **urgent assistance**,"Thu, 12 Sep 2002 13:44:13 -0700",zzzz@localhost.spamassassin.taint.org,spam
"NTK Now, 2002-08-30","Fri, 30 Aug 2002 16:33:18 +0100",zzzz@localhost.netnoteinc.com,ham
"Find Peace, Harmony, Tranquility, And Happiness Right Now!","Mon, 05 Aug 2002 08:51:39 -1700",zzzz@localhost.spamassassin.taint.org,spam
Save up to 70% on international calls!,"Fri, 30 Aug 2002 17:42:52 +0100",zzzz@localhost.netnoteinc.com,ham
[ILUG-Social] URGENT ASSISTANT NEEDED,"Wed, 4 Sep 2002 20:20:31 +0100",zzzz@localhost.spamassassin.taint.org,spam
Re: Canadians,"Wed, 28 Aug 2002 16:26:34 +0000",yyyy@localhost.netnoteinc.com,ham
Hosting from ?6.50 per month,"Mon, 26 Aug 2002 16:59:52 +0100",zzzz@localhost.spamassassin.taint.org,spam
Email marketing info,"Thu, 19 Sep 2002 20:40:45 -0700",zzzz@localhost.spamassassin.taint.org,spam
Cheap Fags,"Sun, 25 Aug 2002 19:08:37 +0200",zzzz@localhost.spamassassin.taint.org,spam
Re: Tiny DNS Swap,"Fri, 30 Aug 2002 19:39:57 +0400",zzzz@localhost.netnoteinc.com,ham
Re: RedHat 8.0 and his own freetype,"Tue, 08 Oct 2002 23:41:46 -0700",zzzz@localhost.spamassassin.taint.org,ham
don't proscrastinate...it's only $14.95 per year,"Sat, 07 Sep 2002 05:19:48 -0000",zzzz@localhost.spamassassin.taint.org,spam
[Ximian Updates] Hyperlink handling in Gaim allows arbitrary code to be executed,"Fri, 30 Aug 2002 13:14:24 -0400",zzzz@localhost.netnoteinc.com,ham
Doom 3,"Sun, 25 Aug 2002 17:25:32 -0700",yyyy@localhost.netnoteinc.com,ham
Re: latest php upgrade in 7.3,22 Aug 2002 19:12:59 -0400,yyyy@localhost.netnoteinc.com,ham
"Re: [zzzzteana] Save the planet, kill the people","Fri, 6 Sep 2002 11:25:44 +0100",zzzz@localhost.spamassassin.taint.org,ham
Re: Java is for kiddies,"Mon, 2 Sep 2002 10:26:52 -0400",yyyy@localhost.netnoteinc.com,ham
Business Proposal.,"Tue, 3 Sep 2002 21:57:56 -0700",zzzz@localhost.spamassassin.taint.org,spam
Get your own fountain of youth! HGH human growth hormone from 21st Century!17441,"Wed, 28 Aug 2002 13:31:07 -0500",zzzz@localhost.spamassassin.taint.org,spam
Are you LOSING? The answer would amaze you!,"Tue, 10 Sep 2002 15:11:01 +0200",zzzz@localhost.spamassassin.taint.org,spam
"online catalog of articles, adult toys 2009vjtt6-179dML-15","Tue, 27 Aug 0102 20:59:44 -0200",zzzz@localhost.spamassassin.taint.org,spam
[ILUG-Social] please kindly get back to me,"Fri, 6 Sep 2002 10:06:57 +0200",zzzz@localhost.spamassassin.taint.org,spam
New Stock Pick: BBAN - Last Pick UP 309%.......................................... gsg,"Tue, 17 Sep 2002 12:47:46 -0500",zzzz@localhost.spamassassin.taint.org,spam
RE: Java is for kiddies,"Wed, 28 Aug 2002 14:57:00 -0700",yyyy@localhost.netnoteinc.com,ham
public mailing list sign up package,"Thu, 22 Aug 2002 16:09:34 -0400 (EDT)",zzzz@localhost.netnoteinc.com,ham
The Disappearing Alliance,"Tue, 8 Oct 2002 18:18:20 -0400",zzzz@localhost.spamassassin.taint.org,ham
[ILUG] ¯Â°Ó·~¿ì¤½«Ç¥X¯²,"Sat, 7 Sep 2002 11:48:19 +0100",zzzz@localhost.spamassassin.taint.org,spam
PROTECT YOUR INFORMATION AND YOUR COMPUTER,"Thu, 19 Sep 2002 05:20:18 -0500",zzzz@localhost.spamassassin.taint.org,spam
Herbal Viagra 30 day trial....                CRUA,"Sat, 31 Aug 2002 14:24:25 -1900",zzzz@localhost.spamassassin.taint.org,spam
[ILUG] PPPD disconnects on me!,"Wed, 28 Aug 2002 10:00:45 +0100",zzzz@localhost.netnoteinc.com,ham
Re: Java is for kiddies,"Sun, 01 Sep 2002 18:07:29 -0700",zzzz@localhost.netnoteinc.com,ham
Teach and Grow Rich,"Mon, 02 Sep 2002 08:01:07 -0000",zzzz@localhost.spamassassin.taint.org,spam
RE: Java is for kiddies,"Mon, 2 Sep 2002 16:24:05 -0700 (PDT)",yyyy@localhost.spamassassin.taint.org,ham
Re: Entrepreneurs,"Fri, 23 Aug 2002 02:57:05 +0200 (CEST)",zzzz@localhost.netnoteinc.com,ham
Re: [zzzzteana] Which Muppet Are You?,"Thu, 22 Aug 2002 10:19:48 -0700",zzzz@localhost.netnoteinc.com,ham
Go get em gadgets of 2002 4497VLNz2--9,"Sat, 14 Sep 2002 14:29:28 +1000",zzzz@localhost.spamassassin.taint.org,spam
Re: Fw: Re: When are we going to get. [making ALSA rpms],24 Aug 2002 19:40:08 -0500,yyyy@localhost.netnoteinc.com,ham
Earn 100.000$ in one year working at home,"Sun, 22 Sep 2002 22:32:08 +0200",zzzz@localhost.spamassassin.taint.org,spam
fwd:  SYSTEMWORKS CLEARANCE SALE_ONLY $29.99,"Wed, 18 Sep 2002 15:59:21 -1600",zzzz@localhost.spamassassin.taint.org,spam
Curried radiation burns,"Tue, 08 Oct 2002 08:00:26 -0000",zzzz@localhost.spamassassin.taint.org,ham
RE: [ILUG] Newby to Linux looking for information on cvs,"Thu, 5 Sep 2002 23:53:32 +0100",zzzz@localhost.spamassassin.taint.org,ham
Re: [zzzzteana] Illusionist emerges after 24 hours underwater,"Wed, 28 Aug 2002 08:59:07 +0100",zzzz@localhost.netnoteinc.com,ham
Re: The case for spam,"Thu, 22 Aug 2002 19:39:45 -0400 (EDT)",yyyy@localhost.netnoteinc.com,ham
take advantage of this offer                24344,"Sun, 01 Sep 2002 13:21:15 -1900",zzzz@localhost.spamassassin.taint.org,spam
MSNBC: Rates Hit 18 year Low 4.75% ...28940,"Sat, 20 Jul 2002 03:34:09 -1900",zzzz@localhost.spamassassin.taint.org,spam
Save 84% on CE Credits,"Thu, 22 Aug 2002 19:00:32 -0400",zzzz@localhost.spamassassin.taint.org,spam
you can watch me,"Sat, 31 Aug 2002 20:45:02 -0700",zzzz@localhost.spamassassin.taint.org,spam
"$14.95 per year for .COM, .BIZ, and .INFO extensions","Mon, 02 Sep 2002 22:18:23 +0300",zzzz@localhost.spamassassin.taint.org,spam
[ILUG-Social] my webcam is on babe!,"Wed, 28 Aug 2002 09:17:55 -0400",zzzz@localhost.spamassassin.taint.org,spam
[NYT] Korea's Real Rage for Virtual Games,"Tue, 8 Oct 2002 18:19:49 -0700",zzzz@localhost.spamassassin.taint.org,ham
Re: [ILUG] adsl router modem combo,"Mon, 7 Oct 2002 10:35:39 +0100 (IST)",zzzz@localhost.spamassassin.taint.org,ham
[ILUG] Do NOT Drop your Life Insurance,"Wed, 11 Sep 2002 06:12:39 -0500",zzzz@localhost.spamassassin.taint.org,spam
[zzzzteana] Punch bags filled with incontinence pads,"Tue, 08 Oct 2002 15:48:40 +0100",zzzz@localhost.spamassassin.taint.org,ham
Re: The GOv gets tough on Net Users.....er Pirates..,"Mon, 26 Aug 2002 18:30:45 -0700",yyyy@localhost.netnoteinc.com,ham
RE: Gasp!,"Sun, 1 Sep 2002 16:59:24 -0700 (PDT)",yyyy@localhost.netnoteinc.com,ham
Competitive Mortgage Rates,"Sat, 24 Aug 2002 15:47:18 -0400",zzzz@localhost.spamassassin.taint.org,spam
Re: How unlucky can you get?,"Mon, 26 Aug 2002 16:28:55 -0700",yyyy@localhost.netnoteinc.com,ham
[ILUG] find the biggest file,"Tue, 27 Aug 2002 12:31:52 -0700 (PDT)",zzzz@localhost.netnoteinc.com,ham
Re: [ILUG] mini-itx,08 Oct 2002 14:36:33 +0100,zzzz@localhost.spamassassin.taint.org,ham
"BIZ, .INFO, .COM for only $14.95","Sun, 25 Aug 0102 03:37:45 +1100",zzzz@localhost.spamassassin.taint.org,spam
you don't satisfy me               FGTPRIL,"Tue, 17 Sep 2002 10:28:14 -1600",zzzz@localhost.spamassassin.taint.org,spam
MSNBC: Rates Hit 35 year Low 4.75% ...12021,"Mon, 09 Sep 2002 21:00:53 -1900",zzzz@localhost.spamassassin.taint.org,spam
Computational Recreations,26 Aug 2002 08:38:09 -0700,yyyy@localhost.netnoteinc.com,ham
[zzzzteana] Big cats 'on the increase',"Wed, 28 Aug 2002 13:47:35 +0100",zzzz@localhost.netnoteinc.com,ham
Penile enlargement method - guaranteed !,"Thu, 22 Aug 0102 12:07:35 +0800",zzzz@localhost.spamassassin.taint.org,spam
Re: [SAtalk] O.T. Habeus -- Why?,"Thu, 29 Aug 2002 08:32:08 -0700 (PDT)",zzzz@localhost.netnoteinc.com,ham
Welcome to OfferClub!,"Sat, 21 Sep 2002 23:40:27 -0400",zzzz@localhost.spamassassin.taint.org,spam
Re: Java is for kiddies,28 Aug 2002 15:06:39 -0400,yyyy@localhost.netnoteinc.com,ham
RE: Java is for kiddies,"Mon,  2 Sep 2002 11:54:55 +0200 (CEST)",zzzz@localhost.netnoteinc.com,ham
Play a Hilarious Phone Prank,"Thu, 29 Aug 2002 10:00:10 +0100",zzzz@localhost.spamassassin.taint.org,spam
Canadians,"Wed, 28 Aug 2002 07:22:13 -0300",zzzz@localhost.netnoteinc.com,ham
[ILUG] Earn 100.000$ in one year working at home,"Sun, 22 Sep 2002 22:02:32 +0200",zzzz@localhost.spamassassin.taint.org,spam
[ILUG] Re: Sun Solaris,"Thu, 22 Aug 2002 22:25:12 +0100",zzzz@localhost.netnoteinc.com,ham
Entrepreneurs,"Thu, 22 Aug 2002 22:58:34 +0200 (CEST)",zzzz@localhost.netnoteinc.com,ham
Re: [ILUG] Got me a crappy laptop,"Tue, 27 Aug 2002 19:26:50 +0100",zzzz@localhost.netnoteinc.com,ham
Re: Java is for kiddies,"Thu, 29 Aug 2002 11:24:39 +0100",yyyy@localhost.netnoteinc.com,ham
